gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FASN	1100.96	-1.8564	0.1669	-11.1228	0.001541	0.004207
KRAS	994.41	-1.4708	0.0809	-18.1805	0.003004	0.009944
FAS	206.22	3.8425	0.1948	19.7254	0.000706	0.00096
MKI67	1444.93	-2.9879	0.1251	-23.8841	0.000434	0.001
PTCH1	2845.13	-0.4588	0.133	-3.4496	0.0678	0.1529
HMGB2	1151.8	-0.8977	0.3451	-2.6013	0.8032	0.99
G6PD	1088.04	-1.5358	0.1494	-10.2798	0.00161	0.003038
PSMA1	1109.01	0.4979	0.3288	1.5143	0.5897	0.99
PPARGC1A	2825.4	0.2906	0.3162	0.919	0.6188	0.99
PSMB3	2240.87	0.0794	0.2023	0.3925	0.3978	0.99
VIM	154.65	-2.1647	0.1676	-12.9159	0.002532	0.005078
H3C1	1338.15	0.3239	0.1855	1.7461	0.7536	0.99
SLC2A1	1155.75	-1.5279	0.1686	-9.0623	0.002507	0.004572
OAS1	1623.9	7.7669	0.2454	31.65	0.001136	0.003017
HNRNPA1	51.62	-0.115	0.261	-0.4406	0.4775	0.99
XIAP	624.35	-1.7521	0.1081	-16.2081	0.00187	0.002586
GATA1	1022.3	-0.1786	0.3555	-0.5024	0.8512	0.99
ISG20	383.72	5.2831	0.204	25.8975	0.00049	0.001048
GC	2240.35	0.4335	0.1992	2.1762	0.7107	0.99
HNRNPU	307.07	-0.1726	0.3934	-0.4387	0.3872	0.99
IRF7	184.96	6.6533	0.2093	31.7883	0.002298	0.003183
CTNNB1	419.74	-0.2331	0.1999	-1.1661	0.4953	0.99
TWNK	2685.83	0.1507	0.2905	0.5188	0.5678	0.8521
CXCL10	1730.26	8.8641	0.1223	72.4783	0.000571	0.001339
NOTCH2	2220.56	-0.0304	0.1898	-0.1602	0.3662	0.99
GUSB	1290.85	-0.2856	0.2024	-1.4111	0.8486	0.99
KIT	1980.95	0.2595	0.371	0.6995	0.6576	0.99
HNF4A	1702.12	0.0564	0.1237	0.4559	0.8686	0.99
HSPA5	1360.15	0.0429	0.236	0.1818	0.441	0.6087
PSMA2	2537.01	0.6383	0.2841	2.2467	0.6541	0.7228
RPS8	1323.87	-0.2037	0.2119	-0.9613	0.3159	0.8324
KCNMA1	129.18	-0.7955	0.2296	-3.4647	0.353	0.7065
ABCB1	1632.35	-0.0663	0.224	-0.296	0.2263	0.5538
RPS10	207.08	0.4369	0.1852	2.3591	0.7303	0.99
OASL	246.95	4.8429	0.1273	38.0432	0.001907	0.003994
ACLY	404.44	-2.1018	0.2005	-10.4828	7e-06	2.6e-05
NRXN1	2697.05	-0.2039	0.2335	-0.8732	0.1325	0.4939
RPL6	2764.28	-0.127	0.3586	-0.3542	0.5912	0.99
ABCG2	1319.97	-0.4192	0.3095	-1.3544	0.1641	0.8029
RPS3	2431.35	0.1033	0.2956	0.3495	0.3522	0.99
RUNX1	2623.83	-0.3979	0.2371	-1.6782	0.7291	0.99
RPL19	177.95	-0.3014	0.2356	-1.2793	0.1035	0.4478
RPL4	2501.73	0.0468	0.3585	0.1305	0.0898	0.0965
APOE	546.53	-0.044	0.1042	-0.4223	0.5521	0.99
IFIH1	188.44	5.6677	0.2339	24.2313	0.002579	0.003127
CDK4	1300.97	-2.6789	0.2298	-11.6575	9.9e-05	0.000318
NTRK2	2889.05	0.0722	0.1422	0.5077	0.9585	0.99
BST2	496.64	6.464	0.0855	75.6023	0.000946	0.001706
EGFR_like	1454.79	0.1216	0.1712	0.7103	0.5876	0.99
TUBB	140.98	0.032	0.38	0.0842	0.5345	0.99
LAMA1	1984.68	0.1192	0.1225	0.9731	0.0525	0.1471
STUB1	1726.03	-0.3237	0.2588	-1.2508	0.4242	0.99
CCND1	483.14	-2.7714	0.2328	-11.9046	0.003184	0.011405
TBP	2999.72	-0.2981	0.3344	-0.8914	0.6626	0.99
BMP4	2900.39	0.0709	0.1152	0.6155	0.5152	0.99
RAB14	1582.92	-1.0431	0.2662	-3.9185	0.417	0.99
RET	2175.41	0.908	0.3414	2.6596	0.3938	0.99
FGF7	1454.01	0.1792	0.1892	0.9471	0.1186	0.147
TNF	1133.75	4.6093	0.2021	22.807	0.000464	0.000877
